white,origin,destination,w,o,d,ologit,ologit_sep,stereo,mlogit
No,Lowest Quintile,Lowest Quintile,0,1,1,.46430269,.44077224,.41839403,.43714416
Yes,Lowest Quintile,Lowest Quintile,1,1,1,.3169618,.3234387,.29153612,.3189089
No,Lowest Quintile,Quintile 2,0,1,2,.26628509,.29446718,.32688656,.30998376
Yes,Lowest Quintile,Quintile 2,1,1,2,.27519047,.26818165,.28035671,.29288015
No,Lowest Quintile,Quintile 3,0,1,3,.1477081,.19937128,.18585353,.17601749
Yes,Lowest Quintile,Quintile 3,1,1,3,.20224763,.19279797,.22923273,.17602368
No,Lowest Quintile,Quintile 4,0,1,4,.081396461,.05228788,.046326365,.058887802
Yes,Lowest Quintile,Quintile 4,1,1,4,.13285959,.13827838,.12008353,.098975442
No,Lowest Quintile,Highest Quintile,0,1,5,.040307634,.013101416,.022539485,.017966801
Yes,Lowest Quintile,Highest Quintile,1,1,5,.07274051,.077303283,.078790925,.11321183
No,Quintile 2,Lowest Quintile,0,2,1,.42567196,.39657557,.39773047,.40186295
Yes,Quintile 2,Lowest Quintile,1,2,1,.22693312,.23464344,.23644471,.21392699
No,Quintile 2,Quintile 2,0,2,2,.2730265,.30181479,.32245857,.28832188
Yes,Quintile 2,Quintile 2,1,2,2,.25181201,.24696651,.24676009,.27588987
No,Quintile 2,Quintile 3,0,2,3,.16185467,.22419798,.19559766,.23591703
Yes,Quintile 2,Quintile 3,1,2,3,.23091075,.21839918,.23280093,.22925819
No,Quintile 2,Quintile 4,0,2,4,.092630401,.061740231,.055653725,.053303648
Yes,Quintile 2,Quintile 4,1,2,4,.18001606,.18444496,.16338909,.16030364
No,Quintile 2,Highest Quintile,0,2,5,.04681645,.015671417,.028559593,.020594491
Yes,Quintile 2,Highest Quintile,1,2,5,.11032808,.11554589,.12060519,.12062129
No,Quintile 3,Lowest Quintile,0,3,1,.3854287,.34932253,.38903162,.35776386
Yes,Quintile 3,Lowest Quintile,1,3,1,.16430347,.17219889,.18297172,.17208731
No,Quintile 3,Quintile 2,0,3,2,.27698535,.30483854,.32021177,.25679794
Yes,Quintile 3,Quintile 2,1,3,2,.21655384,.21444504,.20699343,.21182951
No,Quintile 3,Quintile 3,0,3,3,.17686245,.25269026,.19944115,.3398768
Yes,Quintile 3,Quintile 3,1,3,3,.23992571,.22625004,.22487277,.23155513
No,Quintile 3,Quintile 4,0,3,4,.10586283,.074031331,.05990015,.037265114
Yes,Quintile 3,Quintile 4,1,3,4,.22298743,.2256528,.21058187,.2232814
No,Quintile 3,Highest Quintile,0,3,5,.054860663,.019117339,.031415295,.0082962885
Yes,Quintile 3,Highest Quintile,1,3,5,.15622956,.16145325,.17458022,.16124666
No,Quintile 4,Lowest Quintile,0,4,1,.39494732,.35541567,.29970583,.4306218
Yes,Quintile 4,Lowest Quintile,1,4,1,.098842449,.10544029,.1200911,.11240247
No,Quintile 4,Quintile 2,0,4,2,.27635393,.3047609,.28468382,.26225218
Yes,Quintile 4,Quintile 2,1,4,2,.15665315,.1577397,.15105467,.14602496
No,Quintile 4,Quintile 3,0,4,3,.17329872,.24890585,.22780773,4.4170751e-08
Yes,Quintile 4,Quintile 3,1,4,3,.22183757,.20970395,.19754556,.2164574
No,Quintile 4,Quintile 4,0,4,4,.10257716,.072294548,.11419367,.30712593
Yes,Quintile 4,Quintile 4,1,4,4,.27347955,.27349472,.27027941,.2694965
No,Quintile 4,Highest Quintile,0,4,5,.052822899,.018623024,.07360895,4.4319865e-08
Yes,Quintile 4,Highest Quintile,1,4,5,.24918728,.25362134,.26102927,.25561866
No,Highest Quintile,Lowest Quintile,0,5,1,.1046304,.052637905,.1138215,.019153092
Yes,Highest Quintile,Lowest Quintile,1,5,1,.046042949,.050030708,.051118571,.067328848
No,Highest Quintile,Quintile 2,0,5,2,.16310102,.11107659,.14489177,.015971154
Yes,Highest Quintile,Quintile 2,1,5,2,.08515539,.087599784,.076020248,.066154979
No,Highest Quintile,Quintile 3,0,5,3,.22542426,.33817431,.19349334,.44362274
Yes,Highest Quintile,Quintile 3,1,5,3,.15547,.14851545,.13325347,.12246083
No,Highest Quintile,Quintile 4,0,5,4,.26932025,.33963779,.2763066,.52125299
Yes,Highest Quintile,Quintile 4,1,5,4,.28338298,.28187591,.33179682,.32832238
No,Highest Quintile,Highest Quintile,0,5,5,.23752405,.15847343,.27148679,3.5108588e-08
Yes,Highest Quintile,Highest Quintile,1,5,5,.42994869,.43197814,.40781087,.41573295
