b,o,d,race,origin,destination,n
Yes,Lowest Quartile,Lowest Quartile,0,1,1,22
Yes,Lowest Quartile,Quartile 2,1,1,2,17
Yes,Lowest Quartile,Quartile 3,1,1,3,11
Yes,Lowest Quartile,Highest Quartile,1,1,4,0
Yes,Quartile 2,Lowest Quartile,1,2,1,6
Yes,Quartile 2,Quartile 2,1,2,2,15
Yes,Quartile 2,Quartile 3,1,2,3,6
Yes,Quartile 2,Highest Quartile,1,2,4,1
Yes,Quartile 3,Lowest Quartile,1,3,1,5
Yes,Quartile 3,Quartile 2,1,3,2,5
Yes,Quartile 3,Quartile 3,1,3,3,3
Yes,Quartile 3,Highest Quartile,1,3,4,1
Yes,Highest Quartile,Lowest Quartile,1,4,1,0
Yes,Highest Quartile,Quartile 2,1,4,2,0
Yes,Highest Quartile,Quartile 3,1,4,3,1
Yes,Highest Quartile,Highest Quartile,1,4,4,1
No,Lowest Quartile,Lowest Quartile,0,1,1,30
No,Lowest Quartile,Quartile 2,0,1,2,37
No,Lowest Quartile,Quartile 3,0,1,3,26
No,Lowest Quartile,Highest Quartile,0,1,4,10
No,Quartile 2,Lowest Quartile,0,2,1,30
No,Quartile 2,Quartile 2,0,2,2,49
No,Quartile 2,Quartile 3,0,2,3,56
No,Quartile 2,Highest Quartile,0,2,4,52
No,Quartile 3,Lowest Quartile,0,3,1,52
No,Quartile 3,Quartile 2,0,3,2,94
No,Quartile 3,Quartile 3,0,3,3,117
No,Quartile 3,Highest Quartile,0,3,4,105
No,Highest Quartile,Lowest Quartile,0,4,1,38
No,Highest Quartile,Quartile 2,0,4,2,50
No,Highest Quartile,Quartile 3,0,4,3,111
No,Highest Quartile,Highest Quartile,0,4,4,272
