white,o,d,w,origin,destination,n
No,Lowest Quartile,Lowest Quartile,0,1,1,3779.2742
No,Lowest Quartile,Quartile 2,0,1,2,2745.647
No,Lowest Quartile,Quartile 3,0,1,3,684.75201
No,Lowest Quartile,Highest Quartile,0,1,4,217.03398
No,Quartile 2,Lowest Quartile,0,2,1,1244.444
No,Quartile 2,Quartile 2,0,2,2,1046.823
No,Quartile 2,Quartile 3,0,2,3,236.95799
No,Quartile 2,Highest Quartile,0,2,4,18.401001
No,Quartile 3,Lowest Quartile,0,3,1,216.745
No,Quartile 3,Quartile 2,0,3,2,43.662998
No,Quartile 3,Quartile 3,0,3,3,158.00101
No,Quartile 3,Highest Quartile,0,3,4,23.753
No,Highest Quartile,Lowest Quartile,0,4,1,3.2869999
No,Highest Quartile,Quartile 2,0,4,2,78.875999
No,Highest Quartile,Quartile 3,0,4,3,89.458
No,Highest Quartile,Highest Quartile,0,4,4,0
Yes,Lowest Quartile,Lowest Quartile,1,1,1,3868.376
Yes,Lowest Quartile,Quartile 2,1,1,2,3700.1382
Yes,Lowest Quartile,Quartile 3,1,1,3,1783.936
Yes,Lowest Quartile,Highest Quartile,1,1,4,1353.6429
Yes,Quartile 2,Lowest Quartile,1,2,1,4562.6748
Yes,Quartile 2,Quartile 2,1,2,2,4762.5112
Yes,Quartile 2,Quartile 3,1,2,3,3861.397
Yes,Quartile 2,Highest Quartile,1,2,4,3189.156
Yes,Quartile 3,Lowest Quartile,1,3,1,3003.8469
Yes,Quartile 3,Quartile 2,1,3,2,4279.8301
Yes,Quartile 3,Quartile 3,1,3,3,5737.5952
Yes,Quartile 3,Highest Quartile,1,3,4,5464.501
Yes,Highest Quartile,Lowest Quartile,1,4,1,1827.489
Yes,Highest Quartile,Quartile 2,1,4,2,2035.176
Yes,Highest Quartile,Quartile 3,1,4,3,6298.873
Yes,Highest Quartile,Highest Quartile,1,4,4,8509.2842
